frame,timestamp,timestamp_human,track_id,class,direction,centroid,confidence,camera_id,camera_name
51,1758448051.5206335,2025-09-21 15:17:31.520,1,car,incoming,"[507.9866027832031, 361.84690856933594]",0.8172901272773743,cam3_east,Camera 3 - East
58,1758448053.0534663,2025-09-21 15:17:33.053,6,car,outgoing,"[773.0313720703125, 358.9968566894531]",0.45869627594947815,cam3_east,Camera 3 - East
80,1758448064.6355872,2025-09-21 15:17:44.635,10,car,incoming,"[487.1631774902344, 360.97520446777344]",0.7747209072113037,cam3_east,Camera 3 - East
118,1758448085.9032423,2025-09-21 15:18:05.903,24,car,outgoing,"[716.2666320800781, 358.8908996582031]",0.6878126859664917,cam3_east,Camera 3 - East
125,1758448087.232741,2025-09-21 15:18:07.232,5,car,incoming,"[487.85279846191406, 360.42889404296875]",0.6860247850418091,cam3_east,Camera 3 - East
159,1758448093.8788486,2025-09-21 15:18:13.878,15,car,incoming,"[557.3455505371094, 361.50575256347656]",0.8070921301841736,cam3_east,Camera 3 - East
171,1758448096.1531,2025-09-21 15:18:16.153,54,car,outgoing,"[778.2155151367188, 359.2408905029297]",0.6849673390388489,cam3_east,Camera 3 - East
243,1758448110.9770043,2025-09-21 15:18:30.977,61,car,incoming,"[488.98553466796875, 360.7203369140625]",0.624805748462677,cam3_east,Camera 3 - East
275,1758448117.6988769,2025-09-21 15:18:37.698,67,car,incoming,"[557.9170532226562, 360.86097717285156]",0.8342986702919006,cam3_east,Camera 3 - East
279,1758448118.5968833,2025-09-21 15:18:38.596,90,car,incoming,"[496.2774200439453, 360.5534362792969]",0.8080077767372131,cam3_east,Camera 3 - East
299,1758448122.8210208,2025-09-21 15:18:42.821,115,car,outgoing,"[707.82470703125, 359.7795867919922]",0.579261064529419,cam3_east,Camera 3 - East
301,1758448123.2299974,2025-09-21 15:18:43.229,111,car,outgoing,"[775.1048278808594, 359.23594665527344]",0.3200160264968872,cam3_east,Camera 3 - East
306,1758448126.054332,2025-09-21 15:18:46.054,97,car,incoming,"[490.9459533691406, 361.1571502685547]",0.8108376264572144,cam3_east,Camera 3 - East
310,1758448129.2572384,2025-09-21 15:18:49.257,135,car,outgoing,"[718.2831420898438, 359.5244903564453]",0.6493596434593201,cam3_east,Camera 3 - East
333,1758448134.7211566,2025-09-21 15:18:54.721,160,car,outgoing,"[719.6428527832031, 358.52490234375]",0.5448492765426636,cam3_east,Camera 3 - East
341,1758448136.4314318,2025-09-21 15:18:56.431,141,car,incoming,"[497.5625762939453, 360.0982208251953]",0.8262151479721069,cam3_east,Camera 3 - East
350,1758448138.2280595,2025-09-21 15:18:58.228,157,car,incoming,"[561.8023071289062, 360.8449249267578]",0.7910063862800598,cam3_east,Camera 3 - East
356,1758448139.3869033,2025-09-21 15:18:59.386,196,car,outgoing,"[717.0592041015625, 358.4371795654297]",0.6709159016609192,cam3_east,Camera 3 - East
374,1758448143.1822424,2025-09-21 15:19:03.182,192,car,incoming,"[552.8399353027344, 360.9146270751953]",0.7386133074760437,cam3_east,Camera 3 - East
394,1758448147.2520673,2025-09-21 15:19:07.252,303,car,incoming,"[552.9398193359375, 362.0537414550781]",0.7473903894424438,cam3_east,Camera 3 - East
411,1758448150.674774,2025-09-21 15:19:10.674,282,car,outgoing,"[722.1003723144531, 358.90777587890625]",0.7196879982948303,cam3_east,Camera 3 - East
426,1758448153.8297448,2025-09-21 15:19:13.829,280,car,incoming,"[499.281982421875, 360.36158752441406]",0.8301602005958557,cam3_east,Camera 3 - East
433,1758448155.28306,2025-09-21 15:19:15.283,265,truck,outgoing,"[802.3153076171875, 359.9153594970703]",0.8173133730888367,cam3_east,Camera 3 - East
461,1758448161.0658944,2025-09-21 15:19:21.065,288,car,incoming,"[565.5093994140625, 360.6856231689453]",0.6941661238670349,cam3_east,Camera 3 - East
523,1758448181.4719431,2025-09-21 15:19:41.471,384,car,incoming,"[507.8964385986328, 360.1963806152344]",0.7790184617042542,cam3_east,Camera 3 - East
523,1758448181.47276,2025-09-21 15:19:41.472,400,car,outgoing,"[713.0346069335938, 359.36163330078125]",0.44502580165863037,cam3_east,Camera 3 - East
549,1758448186.8724782,2025-09-21 15:19:46.872,397,truck,outgoing,"[793.9891662597656, 358.9758758544922]",0.6557092070579529,cam3_east,Camera 3 - East
569,1758448190.742574,2025-09-21 15:19:50.742,435,car,outgoing,"[702.406005859375, 358.6405334472656]",0.42158496379852295,cam3_east,Camera 3 - East
576,1758448192.1223319,2025-09-21 15:19:52.122,414,car,incoming,"[567.3905944824219, 360.0892639160156]",0.8213733434677124,cam3_east,Camera 3 - East
581,1758448193.1187763,2025-09-21 15:19:53.118,415,car,incoming,"[493.6343231201172, 360.0242919921875]",0.7994959354400635,cam3_east,Camera 3 - East
