frame,timestamp,timestamp_human,track_id,class,direction,centroid,confidence,camera_id,camera_name
51,1758448207.906015,2025-09-21 15:20:07.906,1,car,incoming,"[507.9866027832031, 361.84690856933594]",0.8172901272773743,cam4_west,Camera 4 - West
58,1758448209.3116558,2025-09-21 15:20:09.311,6,car,outgoing,"[773.0313720703125, 358.9968566894531]",0.45869627594947815,cam4_west,Camera 4 - West
80,1758448213.977581,2025-09-21 15:20:13.977,10,car,incoming,"[487.1631774902344, 360.97520446777344]",0.7747209072113037,cam4_west,Camera 4 - West
118,1758448221.9458368,2025-09-21 15:20:21.945,24,car,outgoing,"[716.2666320800781, 358.8908996582031]",0.6878126859664917,cam4_west,Camera 4 - West
125,1758448223.312003,2025-09-21 15:20:23.312,5,car,incoming,"[487.85279846191406, 360.42889404296875]",0.6860247850418091,cam4_west,Camera 4 - West
159,1758448231.410842,2025-09-21 15:20:31.410,15,car,incoming,"[557.3455505371094, 361.50575256347656]",0.8070921301841736,cam4_west,Camera 4 - West
171,1758448234.4963398,2025-09-21 15:20:34.496,54,car,outgoing,"[778.2155151367188, 359.2408905029297]",0.6849673390388489,cam4_west,Camera 4 - West
243,1758448249.221447,2025-09-21 15:20:49.221,61,car,incoming,"[488.98553466796875, 360.7203369140625]",0.624805748462677,cam4_west,Camera 4 - West
275,1758448255.8128119,2025-09-21 15:20:55.812,67,car,incoming,"[557.9170532226562, 360.86097717285156]",0.8342986702919006,cam4_west,Camera 4 - West
279,1758448256.673593,2025-09-21 15:20:56.673,90,car,incoming,"[496.2774200439453, 360.5534362792969]",0.8080077767372131,cam4_west,Camera 4 - West
299,1758448260.7446587,2025-09-21 15:21:00.744,115,car,outgoing,"[707.82470703125, 359.7795867919922]",0.579261064529419,cam4_west,Camera 4 - West
301,1758448261.1349015,2025-09-21 15:21:01.134,111,car,outgoing,"[775.1048278808594, 359.23594665527344]",0.3200160264968872,cam4_west,Camera 4 - West
306,1758448262.1281123,2025-09-21 15:21:02.128,97,car,incoming,"[490.9459533691406, 361.1571502685547]",0.8108376264572144,cam4_west,Camera 4 - West
310,1758448262.9641764,2025-09-21 15:21:02.964,135,car,outgoing,"[718.2831420898438, 359.5244903564453]",0.6493596434593201,cam4_west,Camera 4 - West
333,1758448267.730504,2025-09-21 15:21:07.730,160,car,outgoing,"[719.6428527832031, 358.52490234375]",0.5448492765426636,cam4_west,Camera 4 - West
341,1758448269.3313723,2025-09-21 15:21:09.331,141,car,incoming,"[497.5625762939453, 360.0982208251953]",0.8262151479721069,cam4_west,Camera 4 - West
350,1758448271.115391,2025-09-21 15:21:11.115,157,car,incoming,"[561.8023071289062, 360.8449249267578]",0.7910063862800598,cam4_west,Camera 4 - West
356,1758448272.2443247,2025-09-21 15:21:12.244,196,car,outgoing,"[717.0592041015625, 358.4371795654297]",0.6709159016609192,cam4_west,Camera 4 - West
374,1758448275.917411,2025-09-21 15:21:15.917,192,car,incoming,"[552.8399353027344, 360.9146270751953]",0.7386133074760437,cam4_west,Camera 4 - West
394,1758448280.0487452,2025-09-21 15:21:20.048,303,car,incoming,"[552.9398193359375, 362.0537414550781]",0.7473903894424438,cam4_west,Camera 4 - West
411,1758448283.728825,2025-09-21 15:21:23.728,282,car,outgoing,"[722.1003723144531, 358.90777587890625]",0.7196879982948303,cam4_west,Camera 4 - West
426,1758448288.316478,2025-09-21 15:21:28.316,280,car,incoming,"[499.281982421875, 360.36158752441406]",0.8301602005958557,cam4_west,Camera 4 - West
433,1758448294.0711818,2025-09-21 15:21:34.071,265,truck,outgoing,"[802.3153076171875, 359.9153594970703]",0.8173133730888367,cam4_west,Camera 4 - West
461,1758448315.6016173,2025-09-21 15:21:55.601,288,car,incoming,"[565.5093994140625, 360.6856231689453]",0.6941661238670349,cam4_west,Camera 4 - West
523,1758448328.379224,2025-09-21 15:22:08.379,384,car,incoming,"[507.8964385986328, 360.1963806152344]",0.7790184617042542,cam4_west,Camera 4 - West
523,1758448328.379832,2025-09-21 15:22:08.379,400,car,outgoing,"[713.0346069335938, 359.36163330078125]",0.44502580165863037,cam4_west,Camera 4 - West
549,1758448333.7122838,2025-09-21 15:22:13.712,397,truck,outgoing,"[793.9891662597656, 358.9758758544922]",0.6557092070579529,cam4_west,Camera 4 - West
569,1758448337.827578,2025-09-21 15:22:17.827,435,car,outgoing,"[702.406005859375, 358.6405334472656]",0.42158496379852295,cam4_west,Camera 4 - West
576,1758448339.3543828,2025-09-21 15:22:19.354,414,car,incoming,"[567.3905944824219, 360.0892639160156]",0.8213733434677124,cam4_west,Camera 4 - West
581,1758448340.3356586,2025-09-21 15:22:20.335,415,car,incoming,"[493.6343231201172, 360.0242919921875]",0.7994959354400635,cam4_west,Camera 4 - West
